,TotalDrones,TotalTrucks,Method,SuccessfulNoBottlenecks_Count,SuccessfulNoBottlenecks_UniqueDrones,SuccessfulNoBottlenecks_AvoidanceManeuvers,SuccessfulNoBottlenecks_FlightTime,SuccessfulNoBottlenecks_FlightTimeInProximity,SuccessfulNoBottlenecks_FlightTimeHorizontal,SuccessfulNoBottlenecks_FlightTimeHorizontalProximity,SuccessfulNoBottlenecks_FlightTimeVertical,SuccessfulNoBottlenecks_FlightTimeVerticalProximity,SuccessfulBottlenecks_Count,SuccessfulBottlenecks_UniqueDrones,SuccessfulBottlenecks_AvoidanceManeuvers,SuccessfulBottlenecks_FlightTime,SuccessfulBottlenecks_FlightTimeInProximity,SuccessfulBottlenecks_FlightTimeHorizontal,SuccessfulBottlenecks_FlightTimeHorizontalProximity,SuccessfulBottlenecks_FlightTimeVertical,SuccessfulBottlenecks_FlightTimeVerticalProximity,UnsuccessfulNoBottlenecks_Count,UnsuccessfulNoBottlenecks_UniqueDrones,UnsuccessfulNoBottlenecks_AvoidanceManeuvers,UnsuccessfulNoBottlenecks_FlightTime,UnsuccessfulNoBottlenecks_FlightTimeInProximity,UnsuccessfulNoBottlenecks_FlightTimeHorizontal,UnsuccessfulNoBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulNoBottlenecks_FlightTimeVertical,UnsuccessfulNoBottlenecks_FlightTimeVerticalProximity,UnsuccessfulBottlenecks_Count,UnsuccessfulBottlenecks_UniqueDrones,UnsuccessfulBottlenecks_AvoidanceManeuvers,UnsuccessfulBottlenecks_FlightTime,UnsuccessfulBottlenecks_FlightTimeInProximity,UnsuccessfulBottlenecks_FlightTimeHorizontal,UnsuccessfulBottlenecks_FlightTimeHorizontalProximity,UnsuccessfulBottlenecks_FlightTimeVertical,UnsuccessfulBottlenecks_FlightTimeVerticalProximity,SuccessfulNoBottlenecks_AverageUniqueDroneEncounter,SuccessfulNoBottlenecks_AverageAvoidanceManeuvers,SuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,SuccessfulNoBottlenecks_PercentageTimeVerticalProximity,SuccessfulBottlenecks_AverageUniqueDroneEncounter,SuccessfulBottlenecks_AverageAvoidanceManeuvers,SuccessfulBottlenecks_PercentageTimeHorizontalProximity,SuccessfulBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulNoBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulNoBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulNoBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulNoBottlenecks_PercentageTimeVerticalProximity,UnsuccessfulBottlenecks_AverageUniqueDroneEncounter,UnsuccessfulBottlenecks_AverageAvoidanceManeuvers,UnsuccessfulBottlenecks_PercentageTimeHorizontalProximity,UnsuccessfulBottlenecks_PercentageTimeVerticalProximity,SuccessfulNoBottlenecks_Percentage,SuccessfulBottlenecks_Percentage,UnsuccessfulNoBottlenecks_Percentage,UnsuccessfulBottlenecks_Percentage
3716,150,35,Random,150,1491,117188,22092.81,8512.438,16168.39,6139.703,1963.236,854.7611,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.94,781.2533333333333,27.790502883064672,43.53837745436616,,,,,,,,,,,,,100.0,0.0,0.0,0.0
3717,200,35,Random,199,2809,223860,30447.5,13955.6,22545.43,9894.092,2653.163,1515.284,1,25,1369,153.3159,97.41566,110.8134,58.60115,16.26018,12.5801,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.115577889447236,1124.9246231155778,32.49558091797356,57.11235985124171,25.0,1369.0,38.22248703493897,77.36753221674053,,,,,,,,,99.5,0.5,0.0,0.0
3718,250,35,Random,250,4362,320624,38819.9,19216.63,28911.79,13792.04,3339.749,1979.005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.448,1282.496,35.52827287035773,59.25609978474431,,,,,,,,,,,,,100.0,0.0,0.0,0.0
3719,300,35,Random,291,6177,421694,45036.39,24016.38,33341.37,17301.52,3897.394,2373.247,4,124,17518,717.649,453.3857,514.0675,311.8314,93.70139,74.34094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,112,359101,2658.135,2160.765,661.5342,257.9344,1909.323,1878.46,21.22680412371134,1449.1202749140894,38.416755872306815,60.89317631217167,31.0,4379.5,43.45179885988833,79.33814002118858,,,,,22.4,71820.2,9.703585408566532,98.38356317920017,97.0,1.3333333333333335,0.0,1.6666666666666667
3720,100,40,Random,98,481,41133,13174.57,2579.556,9372.417,1809.784,1271.13,305.7802,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,51673,1172.499,1042.753,89.42166,10.88003,1051.561,1031.862,4.908163265306122,419.7244897959184,13.736949289426526,24.05577714317182,,,,,,,,,2.0,25836.5,0.9279351197740893,98.12668974981005,98.0,0.0,0.0,2.0
3721,150,40,Random,146,1065,70516,20810.69,6058.378,15103.6,3974.191,1911.876,698.8008,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,36,273958,2272.387,1929.754,326.7321,94.24139,1880.481,1829.229,7.294520547945205,482.986301369863,19.096872809118775,36.550529427640704,,,,,,,,,9.0,68489.5,4.1472420850849785,97.27452710237434,97.33333333333334,0.0,0.0,2.666666666666667
3722,200,40,Random,192,2258,171337,27704.92,12199.51,20118.11,8475.537,2540.343,1358.243,3,36,4857,306.6266,206.2603,163.42,100.5017,65.74094,57.84075,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,96,470392,2783.904,2558.335,279.1991,126.6219,2423.741,2410.148,11.760416666666666,892.3802083333334,30.592172798188916,53.46691371991893,12.0,1619.0,32.77657580914376,87.9828460012893,,,,,19.2,94078.4,4.548357270940377,99.43917274989367,96.0,1.5,0.0,2.5
3723,250,40,Random,233,3782,285955,34424.56,17332.63,25003.51,12104.33,3124.707,1886.985,11,150,18087,1702.14,689.0006,1153.433,373.0399,252.9637,178.1021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,78,673306,3285.032,2879.739,374.6402,103.3612,2819.741,2769.369,16.23175965665236,1227.274678111588,35.16190185146883,60.38918208971273,13.636363636363637,1644.2727272727273,21.915935234469547,70.4061887140329,,,,,13.0,112217.66666666667,3.1464290149989402,98.21359479469923,93.2,4.3999999999999995,0.0,2.4
3724,300,40,Random,293,6318,430284,45469.79,24973.71,33803.36,18135.13,3891.455,2456.129,1,30,9839,186.6831,117.8722,101.295,53.12103,59.38117,54.08105,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,176,562688,3242.143,2757.036,844.2804,461.4712,2298.648,2274.801,21.563139931740615,1468.5460750853242,39.883909734353296,63.115955343181405,30.0,9839.0,28.455189569918222,91.07440961503454,,,,,29.333333333333332,93781.33333333333,14.233523937716505,98.96256408114682,97.66666666666667,0.33333333333333337,0.0,2.0
3725,100,20,Random,100,598,55782,14115.76,3889.865,10199.45,2459.753,1316.871,465.4405,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,557.82,17.42557963581132,35.34442629536226,,,,,,,,,,,,,100.0,0.0,0.0,0.0
